UniqueCount	AmbigCount
373958	10
47	159
459	0
2416	4599
27535	421
3	2206
13554	164
272	5962
105309	1
39	138
11804	2
12269	43149
80	2
25375	0
3292	0
123	8146
8	0
1573	1537
1286	2631
13409	0
182	0
198	0
0	0
2291	9481
14239	2
9	48200
16	0
1	0
188	0
17	0
1255	2741
31	112
8898	8
3279	12431
3843	0
24380	62826
86	0
3467	2
1325	0
503	363
22841	0
16544	394346
15	158082
6557	0
143	219
58	0
0	3295
851	926
0	0
0	0
9	42
89	0
617	0
171	0
7	0
135	119
323	0
6129	47
5346	6
418	4149
1345	5330
1	64730
12727	121341
3431	0
37135	138544
7419	66107
72620	487913
689	8831
2398	11852
549	1513
3	3766
121099	2
422995	3
11	864
50	0
158	0
6	41
386	1458
6917	64395
1010	640
11477	0
113	0
405	0
2871	0
4332	38555
18221	0
2002	16
7511	26417
18	0
0	46453
30	404
18588	0
6711	0
9	4711
115	2654
6968	133594
2147	6424
7879	491096
18114	0
2413	360
1360	24652
111	4992
91	389
1825	3706
5052	173347
0	0
0	0
26	0
0	0
0	3
4	0
1122	0
0	4
1154	0
0	0
0	108
45152	61
9	15
36	319
11	0
1677	60495
839	0
71090	0
0	6477
0	6884
1140	2285
439	8471
94	0
317	0
828	14099
393	0
106	9251
376	3568
30423	0
861	1403
0	0
1058	8617
540	0
26710	3
18685	33
3834	13275
0	30735
0	4395
132	2452
2519	0
90	9144
0	18
53	1450
0	6171
176	1618
0	579
7044	24370
226	0
1315	0
3546	1
11781	2
2041	0
282	0
174	0
19526	0
1	28421
111	177
142	2020
13356	51538
650	6651
80	2900
5	0
2	0
2	2
26229	6866
1431	121341
0	9143
0	3008
199	3292
2479	0
33	431
6759	0
265	1388
1407	0
470	0
1	5
529	0
21	0
27	2685
1160	1
369	5310
389	2493
2874	185
26694	0
0	640
3333	5172
890	13815
2109	22392
3547	0
582	8008
0	35
572	416
101	695
45	17958
249	0
152	0
0	4654
16966	1
84	770
0	505
3708	0
30394	1
56	0
0	51
22133	52
4894	62305
0	497
11	370
604	0
8847	0
0	316
17	0
1045	26224
134	26042
0	24688
23779	0
10500	428
30047	1
11362	0
552	0
142	0
43	0
155	0
44814	187
0	8046
7762	0
2	202
16	0
1	143
6155	1
82	1460
221	0
0	6154
0	6342
0	6256
24	118
4072	0
18634	5102
2468	7523
969	8333
207	1838
347	3948
10285	0
20	8955
146	2689
143732	1
2129761	18
299766	112
708068	11
21879	0
3030	31452
29938	1
17871	2
2253	12010
190	12010
24097	0
6447	0
0	5187
2	2430
9437	0
439	4019
182	2061
1605	0
240	952
20	4150
144	0
1881	679
8653	915
3	20611
0	37959
40092	7610
6366	0
56	480
38502	4177
884	0
7496	0
15372	6
0	3
140	6889
24173	0
305	52088
0	6537
366	4503
0	10082
2797	39041
10167	25
738	371
1404	4963
28300	9
60098	13
0	12952
10334	8
119918	66
22	0
431	0
103	1110
142	0
58715	5199
11	0
700	0
47739	0
1890	0
1659	15675
0	16013
2	15659
6699	15659
24	59224
4566	59916
74114	0
32	221
1636	21006
27816	0
14833	8
28118	11329
0	23540
0	23540
12940	0
0	149049
87282	0
32696	1175817
23608	1175817
228	3580
15072	1
24	24224
66	2608
123201	2
3770	55109
1310	5596
429	43
221	20607
77	225
363	6589
0	13046
0	13046
2421	0
1268	0
116	1037
21009	0
8092	0
2497	0
8803	0
6086	2752
1075	15028
272	373
47667	6
5185	701
719	12572
466	44013
22	44013
0	2717
0	2717
5520	0
809	8720
48022	0
22979	240
15699	1
0	8775
75687	0
298	2792
15808	0
28938	2
282	32664
1683	32666
6743	10
19239	1
64977	0
27630	0
28806	0
11313	1
30035	1
4523	6254
301	11036
82726	3
10645	1
18266	11
9600	0
1091	0
14398	6798
5652	0
813	3608
359	4296
206	2751
43120	332364
3510	332363
21	1
7	12
20	1
15	0
11	26
0	34
9	9
2	8
98	0
0	98
29	9
49	0
0	871
630	375
4	260
1	21
332	1
71	3
66	0
76	0
46	0
2	61
0	144
11	50
2	5388
4	19
0	9
22	188
10	19
0	4
0	172
0	10
1	14
66	0
0	28
9152	5198
17556	69
3640	1
360	0
0	4813
9928	24
0	238
0	59
2	11
2	48
0	1305
189	124578
15913	1
5247	0
38895	339
1767	0
221	22720
55855	735
0	25401
902	0
272	750
0	0
174	0
368	0
1018	0
4547	0
899	0
1354	0
55	0
14	0
37	0
370	0
379	0
2	0
1245	0
135	0
5125	0
501	3464
271	2913
27	4332
7993	0
2193	0
22239	621
622	84
1090	50527
38	24188
400	9473
1291	20208
219244	2
55180	0
1779	0
255	0
42	97934
1985	34644
8	17940
0	91311
1311	237
348	15679
0	120
8455	0
7743	1
2404	196
12263	0
74	834
780	3062
0	995
23	0
2346	17319
23946	0
32	1
529966	12
425	8
60	652
12	0
4	0
25	0
1644	0
0	0
33	0
0	0
1	0
0	0
0	0
1	0
11	0
2	0
3	0
0	0
2	0
20	0
0	0
0	0
1	0
0	0
13	0
0	0
0	0
0	13
9	0
7	0
82	0
1	0
0	0
4	0
1	0
0	0
9	0
1	0
0	3
1	0
6	0
26	0
0	2
0	0
0	0
66	0
12	0
0	0
0	0
0	2
0	0
0	0
0	0
637	0
0	0
7	0
0	0
0	16
0	16
0	0
24	0
0	0
0	0
0	0
8	0
0	13
0	0
2	0
0	0
0	0
0	0
3	0
0	0
0	0
0	0
5	0
21	0
0	0
0	0
0	0
13	9
1	0
0	0
103	0
9	0
1	0
0	8
0	0
0	0
0	0
0	19
70	0
204	1
32	0
0	0
182	0
16	0
0	909
0	0
1	0
0	7
1	0
1	0
57	0
0	0
0	0
3	0
601	0
0	0
0	0
2	0
1	0
0	0
0	0
0	0
0	0
0	0
9	0
0	20
1	0
0	0
1	0
16	0
2	0
0	0
1	0
0	36
3	0
37	0
68	0
71	0
117	0
86	0
0	0
3	0
2	0
0	0
3	0
1	0
2	0
1	0
2	0
0	0
0	0
56	0
1	0
1	0
3	0
0	0
0	0
1	0
222	0
2086	0
1	0
0	0
65	0
16	0
0	18
516	0
7	0
0	0
0	0
6	0
0	31
0	0
0	0
0	0
0	0
0	0
0	0
0	0
1	0
77	0
2	0
0	0
45	4
2	0
0	0
0	0
0	0
447	0
0	0
0	0
113	0
0	0
1	0
53	0
0	4
1	0
114	0
37	0
1	0
0	0
1	0
168	0
0	0
6	63
3	0
463	0
0	0
0	0
1058	0
1638	0
8	0
1	0
0	0
1438	0
37	0
126	0
0	0
0	0
0	63
0	0
2488	0
0	0
393	0
0	0
7	0
0	1
690	0
0	0
169	0
0	0
1	0
0	0
7	0
19	0
57	0
12	0
2	0
0	0
0	0
2	0
29	0
1	0
555	0
0	0
168	0
540	0
4	0
2410	0
13	0
0	0
482	0
199	0
0	0
0	0
1	0
442	0
1	0
0	0
0	0
6	0
0	0
3	0
4	0
20	0
1903	3
3126	18
11197	34054
596	0
12	1497
0	1710
0	15752
15	704
8666	0
881	8331
89	18191
342	7
428	17187
0	0
162	0
34	12829
25202	0
17931	5811
15088	0
6511	0
0	13135
4	84
2879	0
8753	0
3384	0
15573	0
4	227
5163	11251
1863	0
2591	0
3707	0
113	228
153	0
1843	22658
5280	5427
5820	0
1011	4820
389	0
161	3946
16955	19
5642	0
1002	2441
464	0
6551	143256
432	17093
141	22762
5254	6539
246042	105
2062	1
159	34124
4127	25
449	790
12	8583
3243	0
77	6914
2112	0
225	10700
7398	0
17497	0
2227	26941
90	837
4742	282
14	378
5186	0
113	710
1622	0
8075	0
196	1328
24327	1
7905	0
3136	0
101	5121
306	9517
225	3849
183	27
0	7776
35538	2
0	0
0	7978
70	0
6938	0
3467	0
1152	24332
3706	1
189	2
4083	0
533	176
885	497
3	0
2626	0
14107	0
3250	78
2164	72754
5549	0
144286	4
323	19116
0	371
2164	0
654	0
0	10378
27	801
18	7280
1887	4006
7	0
298	418
4	5659
18	333
11	0
21928	0
422	0
694	1671
780	206
7307	0
684	0
15695	4803
11534	1050
2498	0
768	3327
9450	0
6215	0
354	2405
696	31581
2513	0
18894	1
1186	0
941	0
16	51975
