transcript	#geneID
RNA5688	gene2849
RNA5691	gene2849
RNA5695	gene2850
RNA5697	gene2850
RNA5698	gene2851
RNA5699	gene2852
RNA5700	gene2852
RNA5701	gene2853
RNA5703	gene2854
RNA5704	gene2854
RNA5705	gene2855
RNA5706	gene2856
RNA5707	gene2856
RNA5708	gene2856
RNA5710	gene2858
RNA5714	gene2858
RNA5718	gene2859
RNA5719	gene2860
RNA5720	gene2861
RNA5721	gene2862
RNA5722	gene2862
RNA5724	gene2862
RNA5725	gene2862
RNA5726	gene2862
RNA5727	gene2862
RNA5728	gene2862
RNA5729	gene2862
RNA5730	gene2862
RNA5731	gene2862
RNA5732	gene2862
RNA5733	gene2862
RNA5735	gene2863
RNA5737	gene2864
RNA5738	gene2864
RNA5739	gene2865
RNA5740	gene2865
RNA5742	gene2867
RNA5741	gene2866
RNA5745	gene2869
RNA5746	gene2870
RNA5747	gene2871
RNA5748	gene2872
RNA5749	gene2872
RNA5752	gene2872
RNA5753	gene2873
RNA5754	gene2874
RNA5755	gene2875
RNA5756	gene2876
RNA5757	gene2876
RNA5759	gene2876
RNA5760	gene2876
RNA5761	gene2876
RNA5762	gene2876
RNA5763	gene2876
RNA5764	gene2877
RNA5765	gene2877
RNA5766	gene2877
RNA5767	gene2878
RNA5768	gene2878
RNA5769	gene2878
RNA5770	gene2878
RNA5771	gene2878
RNA5772	gene2879
RNA5773	gene2880
RNA5774	gene2880
RNA5776	gene2882
RNA5777	gene2882
RNA5778	gene2882
RNA5779	gene2882
RNA5780	gene2882
RNA5781	gene2883
RNA5782	gene2884
RNA5783	gene2885
RNA5784	gene2886
RNA5785	gene2886
RNA5786	gene2887
RNA5787	gene2888
RNA5788	gene2888
RNA5789	gene2888
RNA5790	gene2888
RNA5791	gene2889
RNA5793	gene2891
RNA5794	gene2892
RNA5792	gene2890
RNA5795	gene2893
RNA5796	gene2893
RNA5797	gene2894
RNA5799	gene2895
RNA5800	gene2895
RNA5801	gene2896
RNA5802	gene2896
RNA5803	gene2897
RNA5804	gene2898
RNA5805	gene2899
RNA5807	gene2901
RNA5809	gene2902
RNA5811	gene2904
RNA5812	gene2904
RNA5813	gene2905
RNA5814	gene2906
RNA5815	gene2907
RNA5816	gene2907
RNA5817	gene2908
RNA5818	gene2908
RNA5821	gene2909
RNA5824	gene2909
RNA5825	gene2910
RNA5826	gene2911
RNA5827	gene2912
RNA5828	gene2912
RNA5829	gene2912
RNA5830	gene2912
RNA5831	gene2912
RNA5833	gene2912
RNA5834	gene2912
RNA5836	gene2912
RNA5837	gene2912
RNA5838	gene2912
RNA5839	gene2912
RNA5842	gene2912
RNA5843	gene2912
RNA5844	gene2912
RNA5845	gene2912
RNA5846	gene2912
RNA5847	gene2912
RNA5848	gene2912
RNA5849	gene2912
RNA5850	gene2912
RNA5851	gene2912
RNA5854	gene2914
RNA5852	gene2913
RNA5853	gene2913
RNA5855	gene2915
RNA5856	gene2916
RNA5857	gene2917
RNA5858	gene2918
RNA5859	gene2919
RNA5860	gene2920
RNA5861	gene2921
RNA5862	gene2922
RNA5865	gene2924
RNA5868	gene2924
RNA5869	gene2924
RNA5870	gene2924
RNA5863	gene2923
RNA5864	gene2923
RNA5871	gene2925
RNA5872	gene2926
RNA5873	gene2926
RNA5874	gene2926
RNA5875	gene2926
RNA5876	gene2926
RNA5879	gene2927
RNA5883	gene2927
RNA5887	gene2928
RNA5888	gene2928
RNA5889	gene2929
RNA5890	gene2930
RNA5891	gene2931
RNA5892	gene2932
RNA5893	gene2932
RNA5894	gene2933
RNA5897	gene2935
RNA5895	gene2934
RNA5896	gene2934
RNA5898	gene2936
RNA5899	gene2937
RNA5901	gene2939
RNA5902	gene2939
RNA5903	gene2940
RNA5904	gene2940
RNA5905	gene2940
RNA5906	gene2941
RNA5907	gene2941
RNA5908	gene2942
RNA5909	gene2943
RNA5910	gene2943
RNA5911	gene2943
RNA5912	gene2943
RNA5913	gene2943
RNA5914	gene2944
RNA5915	gene2945
RNA5916	gene2945
RNA5918	gene2946
RNA5919	gene2946
RNA5920	gene2946
RNA5921	gene2947
RNA5922	gene2947
RNA5923	gene2948
RNA5924	gene2948
RNA5925	gene2948
RNA5927	gene2950
RNA5928	gene2950
RNA5930	gene2950
RNA5931	gene2950
RNA5932	gene2951
RNA5933	gene2952
RNA5937	gene2954
RNA5938	gene2955
RNA5939	gene2956
RNA5940	gene2957
RNA5942	gene2957
RNA5943	gene2957
RNA5944	gene2958
RNA5945	gene2958
RNA5946	gene2958
RNA5947	gene2958
RNA5948	gene2958
RNA5949	gene2958
RNA5950	gene2958
RNA5951	gene2958
RNA5952	gene2958
RNA5953	gene2958
RNA5954	gene2958
RNA5955	gene2958
RNA5956	gene2958
RNA5957	gene2958
RNA5958	gene2958
RNA5959	gene2959
RNA5960	gene2959
RNA5967	gene2960
RNA5968	gene2961
RNA5969	gene2962
RNA5970	gene2963
RNA5971	gene2963
RNA5972	gene2963
RNA5973	gene2964
RNA5974	gene2964
RNA5975	gene2965
RNA5976	gene2965
RNA5977	gene2966
RNA5978	gene2966
RNA5979	gene2967
RNA5980	gene2967
RNA5985	gene2970
RNA5983	gene2969
RNA5986	gene2971
RNA5987	gene2972
RNA5988	gene2973
RNA5990	gene2975
RNA5991	gene2975
RNA5994	gene2978
RNA5995	gene2979
RNA5996	gene2979
RNA5997	gene2980
RNA5998	gene2981
RNA6000	gene2981
RNA6001	gene2982
RNA6002	gene2982
RNA6004	gene2983
RNA6005	gene2983
RNA6006	gene2984
RNA6007	gene2985
RNA6010	gene2986
RNA6012	gene2988
RNA6013	gene2988
RNA6014	gene2989
RNA6015	gene2990
RNA6016	gene2991
RNA6017	gene2991
RNA6020	gene2991
RNA6022	gene2993
RNA6024	gene2994
RNA6025	gene2995
RNA6027	gene2996
RNA6029	gene2997
RNA6030	gene2998
RNA6031	gene2999
RNA6032	gene2999
RNA6033	gene2999
RNA6038	gene3000
RNA6040	gene3001
RNA6041	gene3001
RNA6042	gene3001
RNA6044	gene3001
RNA6045	gene3002
RNA6047	gene3002
RNA6048	gene3002
RNA6049	gene3002
RNA6050	gene3002
RNA6051	gene3002
RNA6052	gene3002
RNA6053	gene3002
RNA6054	gene3002
RNA6055	gene3003
RNA6056	gene3004
RNA6058	gene3006
RNA6057	gene3005
RNA6061	gene3009
RNA6062	gene3009
RNA6063	gene3009
RNA6064	gene3009
RNA6065	gene3009
RNA6066	gene3009
RNA6067	gene3009
RNA6068	gene3009
RNA6069	gene3010
RNA6070	gene3010
RNA6074	gene3011
RNA6075	gene3012
RNA6080	gene3013
RNA6081	gene3014
RNA6082	gene3015
RNA6083	gene3016
RNA6084	gene3017
RNA6085	gene3017
RNA6086	gene3018
RNA6087	gene3018
RNA6088	gene3018
RNA6089	gene3019
RNA6090	gene3019
RNA6091	gene3019
RNA6092	gene3019
RNA6093	gene3019
RNA6094	gene3019
RNA6095	gene3019
RNA6096	gene3019
RNA6097	gene3019
RNA6098	gene3019
RNA6099	gene3019
RNA6100	gene3019
RNA6101	gene3019
RNA6102	gene3019
RNA6103	gene3019
RNA6104	gene3019
RNA6105	gene3019
RNA6106	gene3020
RNA6107	gene3020
RNA6108	gene3021
RNA6110	gene3021
RNA6112	gene3022
RNA6113	gene3022
RNA6115	gene3024
RNA6116	gene3024
RNA6117	gene3024
RNA6118	gene3025
RNA6121	gene3025
RNA6123	gene3026
RNA6124	gene3027
RNA6125	gene3028
RNA6126	gene3029
RNA6127	gene3030
RNA6128	gene3031
RNA6129	gene3031
RNA6130	gene3032
RNA6131	gene3032
RNA6137	gene3032
RNA6138	gene3032
RNA6139	gene3033
RNA6144	gene3034
RNA6145	gene3035
RNA6147	gene3036
RNA6148	gene3037
RNA6149	gene3037
RNA6150	gene3037
RNA6151	gene3038
RNA6152	gene3039
RNA6153	gene3039
RNA6154	gene3039
RNA6155	gene3040
RNA6156	gene3040
RNA6157	gene3041
RNA6158	gene3041
RNA6160	gene3043
RNA6161	gene3044
RNA6165	gene3047
RNA6168	gene3048
RNA6170	gene3048
RNA6171	gene3048
RNA6172	gene3048
RNA6173	gene3048
RNA6174	gene3048
RNA6175	gene3049
RNA6176	gene3049
RNA6177	gene3050
RNA6178	gene3050
RNA6180	gene3051
RNA6181	gene3052
RNA6182	gene3053
RNA6183	gene3053
RNA6184	gene3053
RNA6185	gene3054
RNA6186	gene3054
RNA6187	gene3055
RNA6188	gene3056
RNA6189	gene3057
RNA6190	gene3058
RNA6191	gene3059
RNA6193	gene3060
RNA6194	gene3061
RNA6195	gene3061
RNA6196	gene3061
RNA6197	gene3061
RNA6198	gene3061
RNA6199	gene3062
RNA6200	gene3063
RNA6201	gene3063
RNA6202	gene3064
RNA6203	gene3064
RNA6204	gene3065
RNA6205	gene3065
RNA6206	gene3066
RNA6207	gene3067
RNA6208	gene3067
RNA6209	gene3068
RNA6210	gene3069
RNA6211	gene3070
RNA6212	gene3071
RNA6213	gene3071
RNA6215	gene3072
RNA6216	gene3072
RNA6217	gene3072
RNA6218	gene3073
RNA6219	gene3073
RNA6220	gene3074
RNA6221	gene3075
RNA6222	gene3075
RNA6223	gene3076
RNA6224	gene3077
RNA6225	gene3078
RNA6226	gene3078
RNA6227	gene3078
RNA6228	gene3078
RNA6229	gene3078
RNA6231	gene3079
RNA6232	gene3080
RNA6233	gene3081
RNA6234	gene3082
RNA6235	gene3082
RNA6236	gene3083
RNA6237	gene3084
RNA6238	gene3085
RNA6239	gene3086
RNA6242	gene3087
RNA6243	gene3087
RNA6244	gene3088
RNA6245	gene3088
RNA6254	gene3090
RNA6258	gene3091
RNA6259	gene3091
RNA6261	gene3092
RNA6262	gene3092
RNA6263	gene3093
RNA6264	gene3093
RNA6267	gene3094
RNA6268	gene3095
RNA6271	gene3096
RNA6272	gene3097
RNA6274	gene3099
RNA6275	gene3099
RNA6276	gene3100
RNA6281	gene3101
RNA6282	gene3102
RNA6283	gene3103
RNA6289	gene3104
RNA6292	gene3105
RNA6293	gene3106
RNA6294	gene3107
RNA6295	gene3108
RNA6296	gene3109
RNA6297	gene3110
RNA6298	gene3110
RNA6301	gene3112
RNA6302	gene3113
RNA6299	gene3111
RNA6300	gene3111
RNA6303	gene3114
RNA6304	gene3114
RNA6305	gene3114
RNA6311	gene3114
RNA6312	gene3115
RNA6313	gene3116
RNA6314	gene3117
RNA6315	gene3118
RNA6317	gene3120
RNA6318	gene3120
RNA6319	gene3120
RNA6320	gene3120
RNA6321	gene3120
RNA6322	gene3120
RNA6323	gene3121
RNA6325	gene3122
RNA6326	gene3122
RNA6327	gene3123
RNA6328	gene3123
RNA6329	gene3124
RNA6330	gene3125
RNA6331	gene3126
RNA6332	gene3128
RNA6333	gene3129
RNA6334	gene3130
RNA6335	gene3131
RNA6337	gene3132
RNA6339	gene3134
RNA6340	gene3134
RNA6341	gene3134
RNA6343	gene3135
RNA6344	gene3135
RNA6345	gene3136
RNA6346	gene3137
RNA6347	gene3137
RNA6349	gene3138
RNA6351	gene3139
RNA6352	gene3139
RNA6353	gene3140
RNA6354	gene3141
RNA6355	gene3142
RNA6356	gene3143
RNA6357	gene3144
RNA6359	gene3144
RNA6360	gene3144
RNA6361	gene3144
RNA6362	gene3145
RNA6364	gene3145
RNA6368	gene3145
RNA6369	gene3146
RNA6370	gene3146
RNA6371	gene3147
RNA6375	gene3148
RNA6376	gene3148
RNA6377	gene3148
RNA6378	gene3148
RNA6379	gene3149
RNA6380	gene3149
RNA6382	gene3149
RNA6383	gene3149
RNA6384	gene3150
RNA6386	gene3150
RNA6387	gene3151
RNA6388	gene3152
RNA6389	gene3153
RNA6390	gene3154
RNA6391	gene3154
RNA6393	gene3154
RNA6394	gene3154
RNA6395	gene3155
RNA6397	gene3157
RNA6396	gene3156
RNA6398	gene3158
RNA6399	gene3159
RNA6400	gene3159
RNA6401	gene3159
RNA6402	gene3160
RNA6403	gene3161
RNA6404	gene3162
RNA6405	gene3163
RNA6406	gene3163
RNA6407	gene3163
RNA6408	gene3164
RNA6409	gene3165
RNA6410	gene3165
RNA6411	gene3166
RNA6414	gene3167
RNA6415	gene3168
RNA6416	gene3168
RNA6417	gene3168
RNA6418	gene3169
RNA6420	gene3170
RNA6421	gene3171
RNA6423	gene3173
RNA6422	gene3172
RNA6424	gene3174
RNA6425	gene3175
RNA6426	gene3176
RNA6429	gene3178
RNA6430	gene3178
RNA6431	gene3178
RNA6432	gene3179
RNA6433	gene3180
RNA6434	gene3181
RNA6435	gene3181
RNA6436	gene3182
RNA6437	gene3182
RNA6439	gene3183
RNA6440	gene3183
RNA6441	gene3184
RNA6442	gene3185
RNA6443	gene3185
RNA6446	gene3185
RNA6448	gene3185
RNA6449	gene3186
RNA6450	gene3187
RNA6451	gene3188
RNA6453	gene3190
RNA6454	gene3191
RNA6455	gene3192
RNA6459	gene3194
RNA6456	gene3193
RNA6458	gene3193
RNA6460	gene3195
RNA6461	gene3196
RNA6463	gene3198
RNA6465	gene3199
RNA6466	gene3199
RNA6467	gene3200
RNA6468	gene3201
RNA6469	gene3202
RNA6472	gene3204
RNA6473	gene3205
RNA6474	gene3206
RNA6475	gene3206
RNA6476	gene3206
RNA6479	gene3206
RNA6483	gene3207
RNA6484	gene3207
RNA6485	gene3208
RNA6486	gene3208
RNA6488	gene3210
RNA6489	gene3210
RNA6490	gene3210
RNA6492	gene3211
RNA6493	gene3212
RNA6494	gene3213
RNA6495	gene3213
RNA6496	gene3214
RNA6497	gene3215
RNA6498	gene3215
RNA6499	gene3216
RNA6500	gene3217
RNA6501	gene3217
RNA6502	gene3218
RNA6504	gene3220
RNA6505	gene3221
RNA6506	gene3222
RNA6508	gene3224
RNA6507	gene3223
RNA6509	gene3225
RNA6510	gene3226
RNA6511	gene3227
RNA6514	gene3227
RNA6515	gene3227
RNA6517	gene3228
RNA6520	gene3229
RNA6521	gene3229
RNA6522	gene3229
RNA6523	gene3229
RNA6524	gene3229
RNA6525	gene3229
RNA6526	gene3229
RNA6527	gene3229
RNA6528	gene3229
RNA6529	gene3229
RNA6530	gene3229
RNA6531	gene3230
RNA6532	gene3231
RNA6533	gene3232
RNA6534	gene3233
RNA6535	gene3233
RNA6536	gene3234
RNA6537	gene3235
RNA6538	gene3236
RNA6539	gene3238
RNA6540	gene3239
RNA6542	gene3241
RNA6543	gene3242
RNA6546	gene3243
RNA6547	gene3244
RNA6548	gene3244
RNA6549	gene3245
RNA6551	gene3246
RNA6552	gene3246
RNA6553	gene3247
RNA6554	gene3248
RNA6555	gene3249
RNA6556	gene3250
RNA6558	gene3251
RNA6562	gene3252
RNA6563	gene3253
RNA6566	gene3256
RNA6574	gene3262
RNA6576	gene3262
RNA6577	gene3262
RNA6579	gene3262
RNA6580	gene3263
RNA6581	gene3264
RNA6582	gene3264
RNA6584	gene3264
RNA6585	gene3265
RNA6586	gene3265
RNA6587	gene3266
RNA6588	gene3266
RNA6589	gene3267
RNA6590	gene3267
RNA6591	gene3267
RNA6593	gene3269
RNA6592	gene3268
RNA6594	gene3270
RNA6595	gene3271
RNA6596	gene3272
RNA6597	gene3272
RNA6598	gene3272
RNA6599	gene3273
RNA6602	gene3274
RNA6603	gene3275
RNA6607	gene3275
RNA6608	gene3275
RNA6609	gene3275
RNA6610	gene3276
RNA6611	gene3277
RNA6612	gene3278
RNA6613	gene3279
RNA6614	gene3279
RNA6615	gene3280
RNA6616	gene3280
RNA6617	gene3281
RNA6618	gene3282
RNA6619	gene3283
RNA6620	gene3284
RNA6621	gene3284
RNA6622	gene3284
RNA6623	gene3285
RNA6624	gene3285
RNA6625	gene3286
RNA6626	gene3286
RNA6632	gene3286
RNA6633	gene3287
RNA6637	gene3289
RNA6642	gene3289
RNA6636	gene3288
RNA6643	gene3290
RNA6644	gene3291
RNA6645	gene3292
RNA6646	gene3293
RNA6647	gene3294
RNA6652	gene3294
RNA6653	gene3294
RNA6654	gene3294
RNA6655	gene3294
RNA6656	gene3294
RNA6657	gene3294
RNA6658	gene3294
RNA6661	gene3294
RNA6662	gene3294
RNA6663	gene3294
RNA6665	gene3296
RNA6666	gene3297
RNA6667	gene3298
RNA6671	gene3298
RNA6672	gene3298
RNA6673	gene3298
RNA6675	gene3298
RNA6676	gene3298
RNA6677	gene3298
RNA6678	gene3299
RNA6679	gene3300
RNA6680	gene3301
RNA6692	gene3301
RNA6696	gene3302
RNA6700	gene3304
RNA6701	gene3305
RNA6702	gene3306
RNA6704	gene3307
RNA6705	gene3308
RNA6706	gene3309
RNA6709	gene3309
RNA6710	gene3310
RNA6711	gene3311
RNA6712	gene3311
RNA6715	gene3313
RNA6716	gene3314
RNA6717	gene3315
RNA6718	gene3316
RNA6721	gene3316
RNA6722	gene3317
RNA6723	gene3318
RNA6724	gene3318
RNA6725	gene3319
RNA6726	gene3320
RNA6727	gene3321
RNA6728	gene3321
RNA6731	gene3321
RNA6732	gene3322
RNA6736	gene3323
RNA6737	gene3323
RNA6738	gene3323
RNA6739	gene3324
RNA6740	gene3325
RNA6741	gene3326
RNA6742	gene3327
RNA6743	gene3328
RNA6744	gene3329
RNA6745	gene3330
RNA6746	gene3331
RNA6747	gene3332
RNA6748	gene3333
RNA6750	gene3335
RNA6751	gene3336
RNA6753	gene3336
RNA6756	gene3337
RNA6759	gene3338
RNA6760	gene3339
RNA6761	gene3340
RNA6762	gene3340
RNA6763	gene3341
RNA6764	gene3342
RNA6765	gene3343
RNA6766	gene3344
RNA6767	gene3344
RNA6768	gene3345
RNA6771	gene3346
RNA6772	gene3347
RNA6773	gene3348
RNA6776	gene3349
RNA6777	gene3349
RNA6778	gene3350
RNA6779	gene3351
RNA6781	gene3353
RNA6782	gene3354
RNA6783	gene3355
RNA6784	gene3356
RNA6785	gene3357
RNA6787	gene3359
RNA6788	gene3359
RNA6789	gene3359
RNA6790	gene3359
RNA6791	gene3359
RNA6793	gene3360
RNA6794	gene3361
RNA6795	gene3362
RNA6796	gene3363
RNA6797	gene3363
RNA6798	gene3364
RNA6799	gene3365
RNA6800	gene3366
RNA6802	gene3366
RNA6804	gene3366
RNA6805	gene3366
RNA6806	gene3366
RNA6807	gene3367
RNA6808	gene3368
RNA6809	gene3369
RNA6810	gene3369
RNA6813	gene3372
RNA6816	gene3375
RNA6817	gene3376
RNA6818	gene3377
RNA6819	gene3378
RNA6822	gene3381
RNA6823	gene3382
RNA6825	gene3383
RNA6826	gene3384
RNA6829	gene3385
RNA6830	gene3386
RNA6831	gene3387
RNA6832	gene3387
RNA6833	gene3388
RNA6834	gene3388
RNA6835	gene3389
RNA6836	gene3389
RNA6840	gene3390
RNA6842	gene3390
RNA6843	gene3390
RNA6844	gene3390
RNA6845	gene3391
RNA6846	gene3392
RNA6847	gene3393
RNA6848	gene3393
RNA6849	gene3394
RNA6850	gene3394
RNA6853	gene3395
RNA6855	gene3397
RNA6856	gene3399
RNA6857	gene3399
RNA6858	gene3399
RNA6859	gene3400
RNA6861	gene3400
RNA6862	gene3400
RNA6863	gene3400
RNA6865	gene3400
RNA6866	gene3400
RNA6868	gene3400
RNA6869	gene3401
RNA6871	gene3402
RNA6872	gene3403
RNA6873	gene3404
RNA6874	gene3405
RNA6875	gene3405
RNA6876	gene3405
RNA6877	gene3405
RNA6878	gene3405
RNA6879	gene3406
RNA6880	gene3407
RNA6881	gene3408
RNA6882	gene3409
RNA6883	gene3410
RNA6884	gene3410
RNA6885	gene3410
RNA6886	gene3410
RNA6887	gene3410
RNA6888	gene3410
RNA6889	gene3410
RNA6890	gene3410
RNA6891	gene3410
RNA6892	gene3410
RNA6893	gene3411
RNA6894	gene3411
RNA6895	gene3412
RNA6896	gene3412
RNA6897	gene3412
RNA6898	gene3412
RNA6899	gene3412
RNA6900	gene3412
RNA6901	gene3412
RNA6902	gene3412
RNA6903	gene3412
RNA6904	gene3412
RNA6905	gene3412
RNA6906	gene3412
RNA6907	gene3413
RNA6908	gene3414
RNA6909	gene3415
RNA6910	gene3415
RNA6911	gene3416
RNA6912	gene3417
RNA6913	gene3417
RNA6914	gene3417
RNA6915	gene3417
RNA6916	gene3417
RNA6917	gene3418
RNA6918	gene3419
RNA6919	gene3419
RNA6924	gene3421
RNA6925	gene3422
RNA6926	gene3423
RNA6927	gene3424
RNA6928	gene3424
RNA6930	gene3426
RNA6931	gene3426
RNA6932	gene3426
RNA6933	gene3427
RNA6934	gene3427
RNA6935	gene3428
RNA6936	gene3429
RNA6939	gene3429
RNA6940	gene3430
RNA6941	gene3431
RNA6943	gene3433
RNA6944	gene3434
RNA6945	gene3435
RNA6946	gene3436
RNA6947	gene3437
RNA6948	gene3438
RNA6949	gene3439
RNA6950	gene3440
RNA6951	gene3441
RNA6952	gene3442
RNA6953	gene3442
RNA6954	gene3443
RNA6956	gene3444
RNA6957	gene3445
RNA6958	gene3446
RNA6960	gene3447
RNA6962	gene3448
RNA6964	gene3449
RNA6965	gene3450
RNA6966	gene3450
RNA6967	gene3451
RNA6968	gene3452
RNA6969	gene3453
RNA6970	gene3454
RNA6972	gene3454
RNA6973	gene3455
RNA6974	gene3455
RNA6976	gene3456
RNA6977	gene3456
RNA6978	gene3457
RNA6979	gene3457
RNA6981	gene3458
RNA6982	gene3459
RNA6983	gene3460
RNA6984	gene3460
RNA6985	gene3460
RNA6986	gene3460
RNA6987	gene3460
RNA6988	gene3460
RNA6989	gene3460
RNA6990	gene3460
RNA6991	gene3460
RNA6992	gene3460
RNA6993	gene3461
RNA6994	gene3462
RNA6995	gene3463
RNA7000	gene3465
RNA7002	gene3466
RNA7003	gene3467
RNA7004	gene3467
RNA7005	gene3468
RNA7006	gene3469
RNA7007	gene3470
RNA7009	gene3471
RNA7010	gene3472
RNA7011	gene3472
RNA7012	gene3473
RNA7013	gene3474
RNA7014	gene3475
RNA7015	gene3476
RNA7016	gene3476
RNA7018	gene3477
RNA7019	gene3478
RNA7020	gene3478
RNA7021	gene3479
RNA7022	gene3480
RNA7023	gene3481
RNA7024	gene3482
RNA7025	gene3483
RNA7027	gene3484
RNA7028	gene3485
RNA7031	gene3486
RNA7032	gene3487
RNA7033	gene3487
RNA7034	gene3488
RNA7035	gene3489
RNA7036	gene3490
RNA7037	gene3491
RNA7038	gene3492
RNA7039	gene3493
RNA7041	gene3494
RNA7042	gene3495
RNA7043	gene3496
RNA7044	gene3497
RNA7045	gene3499
RNA7046	gene3500
RNA7050	gene3500
RNA7051	gene3500
RNA7052	gene3501
RNA7053	gene3502
RNA7054	gene3503
RNA7056	gene3504
RNA7058	gene3505
RNA7059	gene3506
RNA7061	gene3507
RNA7062	gene3508
RNA7063	gene3508
RNA7064	gene3509
RNA7065	gene3510
RNA7066	gene3511
RNA7067	gene3511
RNA7068	gene3511
RNA7069	gene3512
RNA7070	gene3513
RNA7071	gene3514
RNA7072	gene3514
RNA7076	gene3514
RNA7077	gene3514
RNA7078	gene3514
RNA7079	gene3515
RNA7083	gene3518
RNA7081	gene3517
RNA7082	gene3517
RNA7084	gene3519
RNA7085	gene3519
RNA7087	gene3520
RNA7088	gene3520
RNA7089	gene3520
RNA7090	gene3520
RNA7091	gene3521
RNA7093	gene3522
RNA7094	gene3522
RNA7095	gene3523
RNA7097	gene3524
RNA7099	gene3526
RNA7100	gene3526
RNA7101	gene3527
RNA7102	gene3528
RNA7103	gene3528
RNA7104	gene3529
RNA7105	gene3529
RNA7106	gene3529
RNA7107	gene3529
RNA7108	gene3530
RNA7109	gene3531
RNA7110	gene3532
RNA7111	gene3533
RNA7112	gene3534
RNA7113	gene3535
RNA7114	gene3536
RNA7115	gene3537
RNA7116	gene3537
RNA7117	gene3538
RNA7118	gene3539
RNA7119	gene3540
RNA7120	gene3540
RNA7121	gene3541
RNA7123	gene3543
RNA7125	gene3545
RNA7126	gene3546
RNA7128	gene3547
RNA7129	gene3547
RNA7130	gene3548
RNA7133	gene3549
RNA7134	gene3550
RNA7135	gene3551
RNA7138	gene3551
RNA7139	gene3551
RNA7140	gene3551
RNA7141	gene3551
RNA7142	gene3551
RNA7143	gene3551
RNA7144	gene3551
RNA7145	gene3551
RNA7146	gene3551
RNA7148	gene3552
RNA7149	gene3553
RNA7150	gene3554
RNA7151	gene3554
RNA7152	gene3555
RNA7154	gene3556
RNA7155	gene3557
RNA7156	gene3557
RNA7157	gene3557
RNA7158	gene3558
RNA7159	gene3559
RNA7160	gene3560
RNA7161	gene3561
RNA7162	gene3562
RNA7163	gene3562
RNA7165	gene3563
RNA7166	gene3564
RNA7168	gene3565
RNA7169	gene3566
RNA7174	gene3567
RNA7175	gene3568
RNA7176	gene3569
RNA7177	gene3569
RNA7179	gene3570
RNA7181	gene3572
RNA7182	gene3572
RNA7183	gene3573
RNA7184	gene3574
RNA7187	gene3575
RNA7188	gene3575
RNA7200	gene3576
RNA7201	gene3577
RNA7202	gene3577
RNA7203	gene3578
RNA7204	gene3578
RNA7211	gene3578
RNA7212	gene3579
RNA7213	gene3579
RNA7214	gene3580
RNA7215	gene3580
RNA7216	gene3581
RNA7218	gene3582
RNA7219	gene3583
RNA7220	gene3583
RNA7221	gene3583
RNA7222	gene3583
RNA7223	gene3583
RNA7224	gene3583
RNA7225	gene3584
RNA7226	gene3585
RNA7229	gene3586
RNA7230	gene3586
RNA7231	gene3586
RNA7232	gene3587
RNA7233	gene3588
RNA7234	gene3589
RNA7235	gene3590
RNA7236	gene3590
RNA7237	gene3591
RNA7238	gene3591
RNA7239	gene3592
RNA7240	gene3593
RNA7241	gene3594
RNA7242	gene3595
RNA7243	gene3595
RNA7244	gene3595
RNA7245	gene3596
RNA7246	gene3596
RNA7247	gene3597
RNA7248	gene3597
RNA7250	gene3599
RNA7251	gene3600
RNA7252	gene3601
RNA7253	gene3602
RNA7254	gene3603
RNA7255	gene3603
RNA7256	gene3604
RNA7257	gene3605
RNA7258	gene3606
RNA7259	gene3607
RNA7260	gene3608
RNA7262	gene3609
RNA7263	gene3610
RNA7264	gene3611
RNA7265	gene3612
RNA7267	gene3612
RNA7268	gene3613
RNA7269	gene3614
RNA7270	gene3614
RNA7271	gene3615
RNA7272	gene3615
RNA7273	gene3615
RNA7274	gene3615
RNA7275	gene3615
RNA7276	gene3615
RNA7281	gene3615
RNA7282	gene3615
RNA7283	gene3615
RNA7284	gene3615
RNA7286	gene3617
RNA7288	gene3618
RNA7289	gene3619
RNA7290	gene3619
RNA7291	gene3619
RNA7293	gene3619
RNA7294	gene3619
RNA7295	gene3619
RNA7298	gene3620
RNA7299	gene3621
RNA7300	gene3622
RNA7301	gene3623
RNA7302	gene3623
RNA7303	gene3624
RNA7304	gene3625
RNA7305	gene3626
RNA7306	gene3627
RNA7307	gene3628
RNA7308	gene3629
RNA7309	gene3629
RNA7310	gene3630
RNA7311	gene3631
RNA7312	gene3632
RNA7313	gene3633
RNA7314	gene3633
RNA7316	gene3634
RNA7320	gene3635
RNA7325	gene3635
RNA7327	gene3636
RNA7328	gene3637
RNA7329	gene3638
RNA7330	gene3639
RNA7331	gene3639
RNA7332	gene3640
RNA7333	gene3640
RNA7334	gene3641
RNA7335	gene3642
RNA7336	gene3642
RNA7337	gene3643
RNA7338	gene3643
RNA7339	gene3644
RNA7340	gene3645
RNA7341	gene3645
RNA7342	gene3646
RNA7343	gene3647
RNA7346	gene3647
RNA7347	gene3647
RNA7348	gene3648
RNA7349	gene3649
RNA7350	gene3650
RNA7351	gene3650
RNA7352	gene3651
RNA7353	gene3652
RNA7354	gene3653
RNA7356	gene3654
RNA7357	gene3654
RNA7359	gene3655
RNA7360	gene3656
RNA7361	gene3656
RNA7363	gene3657
RNA7364	gene3657
RNA7365	gene3658
RNA7366	gene3659
RNA7367	gene3659
RNA7369	gene3661
RNA7370	gene3661
RNA7371	gene3662
RNA7372	gene3663
RNA7373	gene3663
RNA7374	gene3663
RNA7375	gene3663
