transcript	#geneID
RNA496	gene242
RNA499	gene243
RNA503	gene243
RNA504	gene243
RNA505	gene243
RNA506	gene244
RNA507	gene244
RNA508	gene245
RNA509	gene245
RNA510	gene246
RNA512	gene247
RNA513	gene248
RNA514	gene248
RNA516	gene250
RNA518	gene251
RNA519	gene252
RNA521	gene253
RNA522	gene254
RNA525	gene255
RNA527	gene256
RNA528	gene256
RNA529	gene257
RNA531	gene258
RNA532	gene259
RNA533	gene260
RNA534	gene261
RNA535	gene262
RNA536	gene263
RNA537	gene263
RNA539	gene264
RNA540	gene264
RNA541	gene265
RNA542	gene265
RNA543	gene265
RNA544	gene266
RNA545	gene266
RNA546	gene267
RNA547	gene267
RNA548	gene267
RNA549	gene267
RNA550	gene267
RNA551	gene267
RNA552	gene267
RNA554	gene268
RNA556	gene269
RNA557	gene269
RNA558	gene270
RNA559	gene271
RNA560	gene271
RNA561	gene272
RNA563	gene273
RNA564	gene273
RNA565	gene274
RNA566	gene275
RNA567	gene275
RNA568	gene275
RNA569	gene276
RNA570	gene277
RNA571	gene278
RNA572	gene279
RNA573	gene280
RNA575	gene282
RNA576	gene283
RNA577	gene283
RNA579	gene284
RNA582	gene285
RNA583	gene285
RNA584	gene285
RNA585	gene285
RNA586	gene285
RNA587	gene285
RNA589	gene285
RNA590	gene285
RNA591	gene286
RNA596	gene287
RNA597	gene287
RNA598	gene288
RNA599	gene289
RNA600	gene290
RNA602	gene290
RNA603	gene291
RNA604	gene292
RNA605	gene293
RNA607	gene294
RNA610	gene295
RNA611	gene296
RNA612	gene297
RNA613	gene298
RNA614	gene299
RNA615	gene299
RNA616	gene300
RNA617	gene301
RNA618	gene302
RNA619	gene303
RNA621	gene305
RNA622	gene306
RNA623	gene307
RNA624	gene308
RNA625	gene309
RNA626	gene310
RNA627	gene311
RNA628	gene312
RNA629	gene313
RNA630	gene314
RNA631	gene315
RNA632	gene315
RNA633	gene316
RNA634	gene317
RNA635	gene318
RNA636	gene319
RNA637	gene320
RNA638	gene321
RNA639	gene322
RNA641	gene323
RNA642	gene323
RNA644	gene324
RNA646	gene325
RNA649	gene326
RNA653	gene327
RNA654	gene328
RNA655	gene329
RNA656	gene329
RNA657	gene330
RNA658	gene330
RNA659	gene331
RNA661	gene332
RNA662	gene333
RNA663	gene334
RNA664	gene335
RNA666	gene336
RNA667	gene337
RNA668	gene338
RNA669	gene339
RNA670	gene340
RNA671	gene341
RNA674	gene342
RNA675	gene343
RNA678	gene344
RNA679	gene345
RNA680	gene346
RNA681	gene347
RNA682	gene347
RNA683	gene348
RNA684	gene349
RNA685	gene349
RNA686	gene350
RNA687	gene351
RNA688	gene352
RNA689	gene353
RNA690	gene354
RNA691	gene355
RNA692	gene355
RNA698	gene358
RNA699	gene359
RNA700	gene360
RNA701	gene360
RNA702	gene361
RNA703	gene361
RNA704	gene361
RNA705	gene362
RNA707	gene363
RNA708	gene364
RNA709	gene365
RNA712	gene366
RNA713	gene367
RNA714	gene367
RNA715	gene368
RNA716	gene369
RNA719	gene371
RNA720	gene371
RNA721	gene371
RNA729	gene374
RNA730	gene375
RNA731	gene375
RNA732	gene375
RNA733	gene375
RNA734	gene375
RNA735	gene375
RNA736	gene375
RNA739	gene378
RNA740	gene378
RNA741	gene378
RNA742	gene378
RNA744	gene378
RNA747	gene379
RNA748	gene380
RNA749	gene380
RNA750	gene380
RNA751	gene380
RNA752	gene380
RNA753	gene381
RNA757	gene382
RNA758	gene383
RNA759	gene383
RNA760	gene383
RNA761	gene384
RNA762	gene385
RNA763	gene386
RNA764	gene386
RNA782	gene388
RNA783	gene389
RNA765	gene387
RNA766	gene387
RNA767	gene387
RNA768	gene387
RNA769	gene387
RNA770	gene387
RNA771	gene387
RNA772	gene387
RNA773	gene387
RNA774	gene387
RNA775	gene387
RNA776	gene387
RNA777	gene387
RNA778	gene387
RNA779	gene387
RNA780	gene387
RNA781	gene387
RNA784	gene390
RNA785	gene391
RNA786	gene392
RNA789	gene393
RNA790	gene394
RNA791	gene395
RNA792	gene396
RNA793	gene397
RNA794	gene398
RNA795	gene399
RNA796	gene399
RNA799	gene400
RNA802	gene401
RNA803	gene401
RNA805	gene402
RNA808	gene405
RNA809	gene405
RNA810	gene406
RNA811	gene407
RNA812	gene408
RNA813	gene409
RNA814	gene410
RNA815	gene411
RNA816	gene411
RNA817	gene412
RNA818	gene413
RNA820	gene414
RNA821	gene414
RNA822	gene414
RNA824	gene414
RNA831	gene415
RNA833	gene415
RNA834	gene416
RNA835	gene417
RNA836	gene417
RNA838	gene418
RNA839	gene419
RNA840	gene420
RNA843	gene421
RNA844	gene422
RNA845	gene423
RNA846	gene423
RNA847	gene423
RNA848	gene423
RNA849	gene423
RNA850	gene424
RNA851	gene425
RNA855	gene429
RNA856	gene429
RNA863	gene432
RNA864	gene433
RNA865	gene433
RNA866	gene433
RNA867	gene434
